Habit,number_leaves_sampled,Pinnae_numb,Leaf_size_cm,Petiole_size,Pinnae_size_cm,laminae_widht_cm,pinnae_withd_cm,Petiole_scales_size_cm
terrestrial_1,2,1,13,4.5,5,10,3.3,0.4
Terrestrial_2,2,3,18,6,5.5,10,4,0.35
Terrestrial_3,2,3,21,8.5,6,9.7,3.5,0.4
Terrestrial_4,2,3,18,5.8,6,9,4,0.3
Climbing_1,2,5,23,11,8,18,6,0.25
Climbing_2,2,5,23.4,11,8,17,5.5,0.28
Climbing_3,2,5,22.7,11,7.6,17.7,4.8,0.33
Climbing_4,2,3,17.5,8,8,17.5,6,0.35
Reophytic_1,2,5,15,7.8,5,8,3,0.2
Reophytic_2,2,5,16.2,8,6,8,2.5,0.18
Reophytic_3,2,3,15.4,7,5,9,3.2,0.21
Reophytic_4,2,3,14.8,7.2,5,8,3,0.19
